overall_rates,status,title,date,position,location,pros,cons
2,Former Employee,Managers are horrible,29-Dec-22, Retail Sales Assistant (Part,None,"The discount is quite nice, some of the staff are really nice and helpful especially if youre new.","The managers are extremely patronising and disrespectful. They speak very rudely towards newcomers, they also do not provide enough training yet will expect the task that is given to be done quickly and perfectly. If you make a mistake, you are told off Infront of customers, there is no communication between the managers. Most staff are lovely but the managers are unbearable. One of the worst environments I've worked in."
5,Current Employee,Review,26-Mar-23, Delivery Assistant ,None,Good salary Good package with enough holidays,Difficult work requires fast pace
2,Former Employee,Good pay and Discount,24-Mar-23, Retail Sales Associate,"Stratford, London, England",Discount Pay Staff Meet some nice people,Rude Managers Rude Staff Rude Customers Short breaks
5,"Former Employee, more than 8 years",good place to work,19-Mar-23, Sales Assistant,"Milton Keynes, England",amazing career opportunities. Lovely team.,Long hours. Sometimes shifts end 8pm and you need to be at work next day 6am.
4,Former Employee,Sales Assistant,26-Mar-23, Sales Assistant,"Exeter, England",Good line mangers and work colleagues,Understaffed so stressful at times
4,Former Employee,good experience,23-Mar-23, Customer Assistant ,None,good team organised good line manager,not enough staff very busy
4,Former Employee,Great,23-Mar-23, Anonymous Employee ,None,Was really fun hard work but fun,Lot of pressure when busy
4,Current Employee,zara salary,22-Mar-23, Sales Associate,"Birmingham, England",good pay monthly incentive if targets are reached,very fastpaced busy sometimes heavy workload
5,Current Employee,Great,20-Mar-23, Cashier,"London, England",Ver welcoming and friendly staff,Stressful situations with difficult customers
1,"Current Employee, more than 1 year",Zara doesn't offer a work contract,03-Apr-23, Cashier,"Southampton, England","Salary is good, more than minimum wage.",Always busy and management is nor very helpful.
4,Former Employee,decent pay,15-Mar-23, Delivery Assistant ,None,good pay for night shift discount,very very fast paced environment
2,"Former Employee, less than 1 year",The employees were nice but managers were horrible,31-Jan-23, Sales Associate,"London, England",The staff were nice and good to work with,Managers were horrible. 20 minute break for a 6 hour shift.
2,"Former Employee, less than 1 year",Not worth the salary,17-Feb-23, Customer Service Advisor,"Leeds, England",You get the chance to work alongside people from various backgrounds due to the location of the job  a busy city centre,The staff members can be unprofessional  it’s not an understanding and flexible work environment; it’s also tiring and demanding as a job role
1,"Former Employee, more than 1 year",Such a bad experience on Zara,08-Mar-23, Sales Assistant,"London, England",Work in a multicultural environment.,"Bad conditions of work Usually, the leadership is not centred on sharing knowledge, just on pointing out mistakes in a very aggressive manner Toxic environment Depending on the sector and the management the job is exhausting, physically and mentally."
5,"Current Employee, more than 3 years",Looking for a job,27-Feb-23, Stocker,"Bristol, England",Working for a great brand that I admire and have the opportunity for professional growth.,I don't see any downsides to working at Zara.
2,Former Employee,zara sales,10-Mar-23, Sales,"London, England",good environment nice people great sales,many hours of work messy environment
5,"Former Employee, less than 1 year",-,07-Mar-23, Sales Assistant,"London, England",Good part time salary !,little flexibility of hours and a lot of work
4,Current Employee,great,10-Mar-23, Sales Assistant,"London, England",Good salary、 employee discount、Reasonable scheduling,Busy during the discount season
5,Current Employee,Good,07-Mar-23, Section Manager,"Derby, England",Free uniform for managers staff,Long hours of work a
4,"Current Employee, less than 1 year",review,08-Mar-23, Sales Associate,"Bromley, England",amazing place to work at,busy a lot of the time
1,Current Employee,Meh,27-Mar-23, Sales Associate ,None,"discount on clothes, which is good","a very toxic environment, with no benefits"
4,Current Employee,Cashier,02-Mar-23, Part Time Cashier,"Edinburgh, Scotland","Good, friendly staff and work environment",Work life balance is a bit off
2,Current Employee,Poor place to work,18-Jan-23, Sales Assistant ,None,Once sales assistant team get to know you they are nice people. Good pay. Always have hours.,"Lack of communication amongst management team, causing you to be caught in the cross fire, inadequate training for tills and operating the electronics. Rules change frequently to fit around them not you as the employee, spoken to rudely often by certain members of management."
1,"Former Employee, less than 1 year",Worst job ever,11-Mar-23, Sales Associate,"Sheffield, England","Lovely girls that work there, some of them",All bar one of the managers are borderline satanic Awful HR Rubbish pay Overworked/under appreciated
5,"Current Employee, less than 1 year",Nice people around you,03-Jan-23, Sale Assistant,"London, England","Nice looking people working around you, Easy job after you get used to it","Far too many customers in sale season it is a disaster everywhere Might need some memory to remember all the clothes in the floor, and the floor changes by the commercial team everyday."
4,"Former Employee, more than 1 year",Super fun but busy,14-Jan-23, Sales Associate,"London, England",Fun and trendy 25% discount,Black Fridays and Sales Should be less work or paid more
1,"Current Employee, less than 1 year","Don't apply, but good money",22-Nov-22, Sales Assistant,"London, England","25% staff discount, free fruits in the canteen.",Long hours with shifts finishing at 10.30pm on closing shifts. The senior staff can be very rude and harsh when asking employees to do tasks. There is a lot of running to do when you have to take clothes that has been tried on back to the shopfloor. Also shoes stock room is at the top floor and needs you to take a lift or escalator. Its worser when we have to go find mens shoes at the top floor. The escalators can break down weekly like the lifts and there is always repairmen coming to fix these. During busy periods there is non stop work.
4,Former Employee,Good,02-Feb-23, Sales Assistant,"London, England",Good discount and team was nice,Overworked under staffed management chaos
3,Former Employee,Zara REVIEW,31-Jan-23, Retail Sales Associate ,None,Zara has good pay and employee discount,"bad management, toxic environment, grossly understaffed"
5,Former Employee,Good,25-Jan-23, Sales Associate/Cashier ,None,The company is doing well,Good customer service they look after the staff
3,Former Employee,Ex worker at ZARA,26-Jan-23, Retailer,"Edinburgh, Scotland","Nice work environment, team was nice","Time Hours were too long, but worth the money"
3,"Former Employee, less than 1 year",Student working,16-Jan-23, Sales Assistant,"Southampton, England",Good money for students who support themselves,"Abusive workplace, intense work required"
3,"Former Employee, less than 1 year",zara,27-Jan-23, Sales Assitant ,None,"nice people, structured, nice store, okay salary, efficient","not nice uniform, not extremely flexible, mean manager"
2,"Former Employee, less than 1 year",Okay place to work…,14-Dec-22, Seasonal Sales Assistant ,None,Friendly staff in the kids department,"No discount for seasonal staff Horrible working hours. I worked 20 hours part time whilst balancing uni and it was divided as 5 working days per week (4 hour shifts). They are not flexible at all. Managers are not friendly, not approachable. Most staff are also unapproachable Overworked during seasonal time with late finishes."
5,"Current Employee, more than 3 years",Generaly good,18-Jan-23, Floor Manager,"London, England","NIce people, nice clothes and staff discount","Full on, everyone always busy, hard to catch a break"
4,Former Employee,Great,19-Jan-23, Sales Assistant ,None,Great people Good pay Helpful environment,Sometimes demanding Long hours depending on store
1,Current Employee,Best to avoid if you can,16-Dec-22, Stockroom Assistant ,None,Higher hourly rates than a lot of other places at £12/hr,"Zero flexibility, the absolute worst managers I’ve ever had the misfortune to meet who seemed to never have a thing to be happy about in their lives; you’re treated like a cog in the machine— they don’t have heating on even during negative temperatures, despite them having so many sales."
3,Former Employee,Dani,10-Jan-23, Sale Assistant ,None,It is a nice way to grow experience in the fashion industry,It’s constantly busy and the customers are not the best
3,"Former Employee, more than 5 years",Review,19-Jan-23, Commercial Manager,"Birmingham, England","Staff discount, new products, latest trends",Lack of work life balance
5,"Former Employee, less than 1 year",Zara,17-Jan-23, Sales Associate/Cashier,"London, England",Amazing coworkers and great managers,Rude customers and tiring hours
2,Former Employee,You could try,12-Jan-23, Manager ,None,development careers good collages  long hours,fast space  poor communication
3,"Current Employee, more than 3 years","Not that great, not that bad",17-Aug-22, Cashier ,None,"It's a partial remote job. You can progress if you want, there are many approtunities,especially in Stratford Westfield and Center London. You get a lot of experience in customer service, discipline, organisation , policy, many tasks and dutties, free employee seminars and courses through the INET &edX, Leap&Co app to get improved, modern and clear environment. Overall not that bad if you have a strong personality, discipline, and professionalism. Employee limitated discount. Everyone its welcome, no matter religion, skin color, sex orientation and other personal believes. Sick pay and holidays pay.","Bad management, unprofessional managers with terrible attitude in approaching colleagues. Not flexible shifts. Stress and anxiety comes along with this job."
4,Former Employee,Decent as student/temporary job,03-Jan-23, Sales Associate ,None,Always something to do Staff discounts Colleagues of diverse cultures,Messy management Rude customers at times
5,"Current Employee, less than 1 year",Great,09-Jan-23, Sales Associate ,None,Great Great Great Great Great,None None None None None
2,Current Employee,Neautral,07-Jan-23, Sales Representative ,None,Normal work life balance in the place,Working hours can sometime be long
3,"Former Employee, less than 1 year",decent work for students,28-Nov-22, Sales Associate/Cashier,"Kingston, East of England, England",The salary was pretty decent for a student working as parttime,"The sales assistants gossip a lot, and the managers definitely show their true colours from the get go by having favourites. If they did not like you, you will most likely get shifts you didn't like"
5,Former Employee,my review,25-Dec-22, Sales Associate/Cashier ,None,it really has great salary,one of the cons is that it is not very flexible
5,Current Employee,Great,28-Dec-22, Manager ,None,"Clothes and shoes, bags and shoes…",There ain’t none really to be honest…
3,"Former Employee, less than 1 year",Decent but really busy,20-Dec-22, Retail Assistant,"Trafford Park, England",good pay advancement and tech good holidays,lack of teamwork slef checkout needs improving
2,"Former Employee, less than 1 year",Too much work at once,18-Dec-22, Sales Assistant,"Sheffield, England",Good pay for under 19s,"Long hours Do too much work at once, you can be doing 4 different activities at once"
3,"Former Employee, more than 3 years","Friendly working environment, but stressful Job",28-Oct-22, Sales Assistant ,None,Very friendly and helpful coworkers; everyone working at Zara were approachable and you don't feel alone and you get good discount across the Inditex companies.,"Not very flexible in terms of contract and shift patterns; the closing shift times are very late and not suitable for people who travel by public transport, and working here can be a lot of pressure and stressful."
4,"Current Employee, more than 1 year",Amazing but a lot of pressure,13-Dec-22, Floor Manager,"London, England",Paid overtime 28 days of holidays Staff discount Friendly environment Solid company,Pressare Need more staff Payee not the best
2,"Current Employee, less than 1 year",super overworking place,30-Nov-22, Visual Commercial,"Edinburgh, Scotland",good company name for the young people or new to the workplace.,overwhelming and terribly fastpacing making your life and work unbalance. worst managements ever
4,"Current Employee, less than 1 year",Salary,22-Dec-22, Retail Assistant,"Birmingham, England",Good salary Work life balance,Repetitive Boring Mundane No extra bonus
1,"Former Employee, more than 5 years",Modern slavery,20-Dec-22, Sales Assistant,"Aberdeen, Scotland","Absolute exploitation of staff  also, the people who were working as store management were absolutely disrespected and treated like rubbish by the company.",Better paid than other retail jobs. Acceptable job for a student. Fair employee discount  it was 20% at the time
5,Current Employee,amamzinfplace to work,13-Dec-22, Sale Assistant,"London, England",international and good everioment you will feel welcome,competitive sometime whenit is sales itisa little bit exausting
2,Current Employee,RUN as far as you can,30-Nov-22, Sales Associate/Cashier,"London, England",The Salary is ok but that’s about it,"Very toxic place, Managers are rude Customers are rude and managers don’t do anything Over worked for what you get paid"
4,Current Employee,Good,06-Nov-22, Sales Associate ,None,"Friendly work place, good for those that wants to grow in the company",it hasn't any commission for those who wants to sale and give more results to the company
1,Current Employee,Horrible. Coworkers are rude and make you feel alienated if you're not European or Spanish,01-Nov-22, Sales Assistant ,None,Pay is good £10 an hour and shifts are available,Employees are rude. They are majority Spanish because its a Spanish brand and they will leave you out and treat you bad if you're not Spanish. I had people talking about me in Spanish very obviously. Managers throw you into the deep end on the first shift and are really rude and tough
1,"Current Employee, more than 3 years",You don’t want to work in zara,11-Oct-22, In Store Visual Merchandiser,"Leeds, England",You can easily call sick without any problem . Good flexibility for mums that work in part time, miserable salary  Bad management and worse Human Resources team.  overworked  always understaffed  No safe and healthy at all.  there you aren’t a person you are a number
3,Former Employee,There’s definitely room for improvement,20-Sep-22, Cashier ,None,Discount and Xmas Voucher Great staff Accommodating to holiday request Lunch break 1hr (unpaid) break 20min (paid),"High turnover of staff, mentally daring having to train staff as management don’t teach much Patronising and hypocritical management Unpaid Xmas party while higher ups get fancy ones No recognition for hard work Limited hygiene products Small kitchen/break room"
4,"Former Employee, less than 1 year",Serious company,14-Nov-22, Retail Assistant,"Guildford, England",They are serious company They give salaries in time and they pay quiet good,"Hard work ,up and down every time not resting until your launch at all"
1,Current Employee,Slavery,10-Jan-23, Sales Assistant,"London, England","Team mates, informal workplace …",Slavery overworked crazy hours incompetent management
1,Former Employee,Stress will be your best friend,19-Dec-22, Visual Merchandiser ,None,The company pays really well even sales assistants.,The environment is absolutely horrible and the only reason I stayed longer was because the pay was actually good.
3,"Current Employee, more than 5 years",Good,01-Dec-22, Department Manager,"London, England",Space to grow and every day is different,"Very long hours,no flexibility,late shifts"
4,"Former Employee, less than 1 year",Good but stressful at times,11-Nov-22, Shop Assistant ,None,"one of the nicest places I’ve worked but very busy. Christmas bonuses, good hours",The management could be tricky some are good others not really that good with the staff
4,Current Employee,Operation Manager is rude in behaviour,29-Nov-22, Operations ,None,nice salary nice technology employee discount,high expectations impolite operation manager
3,"Former Employee, more than 1 year",Okay place,08-Nov-22, Sales Associate ,None,Pay was very good (hourly salary + holiday pay),Managers were manipulative Understaffed Was expected to do things not in my job description
3,Former Employee,salary,02-Dec-22, Sales Assistant,"London, England", high number of holidays,have to work during xmas period management is demanding
4,Current Employee,No,04-Dec-22, Customer Service Representative ,None,Working with friends great shifts,Discount for all year eound
4,"Former Employee, less than 1 year",Hard work,26-Oct-22, Customer Service Representative (Zara Account),"London, England","Zara is not an easy or chill place to work, easily on a relaxed day I was hitting 20,000 steps. Very demanding but rewarding because the people are amazing.",Managers are very demanding and don’t always act in your best interest
4,"Former Employee, less than 1 year",Cashier,25-Nov-22, Anonymous Employee,"London, England",The salary was good. The communication with my manager was excellent.,"On busy times, it was stressful"
3,"Former Employee, less than 1 year",Good to get into retail,21-Nov-22, Sales Associate ,None,It’s a good retail start up if you have thick skin,Managers will favour the Italians and Spanish’s
5,"Former Employee, less than 1 year",Sales,25-Nov-22, Anonymous Employee,"London, England","Busy all the time, nice work environment","Busy all the time, busy all the time"
5,"Current Employee, more than 5 years",pay is good,11-Nov-22, Sales Associate,"Manchester, England",pay and monthly commission is good,"There is no proper training for new staff ,which cause lots of conflicts and trouble in between colleagues."
3,"Former Employee, more than 1 year",Depends on branch,02-Nov-22, Retail Sales Assistant,"Manchester, England","Usually, a fantastic team that is really fun to work with.",Your managers can make your life hell and disregard any issues you might have even if they are health related
4,"Former Employee, less than 1 year",Good,20-Nov-22, Customer Service Representative (Zara Account),"London, England",Good place to work as a temp,Not good for moving on for my future
4,"Former Employee, more than 1 year",Alright,17-Nov-22, Sales Assistant,"London, England","Good discount, fast paced, you don’t get bored oftrn",Policies regarding flexibility were not the best
5,Former Employee,Experience working at zara,16-Nov-22, Sales Assistant,"London, England",Friendly staff members and team,Very busy store during summer period
3,"Current Employee, more than 1 year",It is not for the weak,25-Oct-22, Sales Assistant,"Manchester, England",You get commission and Christmas bonuses.,It is required for you to be okay with doing multiple job roles within one shift which can be exhausting and quite stressful.
3,Current Employee,Management is weak,11-Nov-22, Anonymous Employee ,None,Standard discount is really Good And so is the pay,Too stressful specially in peak times
3,Current Employee,It can become a stressful place to work,19-Aug-22, Cashier ,None,"Discount and item on sales that we can choose for first, very nice colleagues to work with, very easy system, easy way to learn things.","The management is very bad, the training is not very good, the pay is just ridiculous for the amount of job we have to do and because they can't find people to work they end up hiring anyone so who's there for more time ends up to do also others people job."
5,Former Employee,Flexible job,10-Nov-22, Customer Assistant,"London, England",Very generous store discount on clothes,There could be very. long hours at times
3,"Former Employee, less than 1 year",Zara Review,11-Nov-22, Anonymous Employee ,None,Nice people to work with. Discount,Low Pay Micro Management Not very flexible with shifts
5,Current Employee,Friendly environment,10-Nov-22, Cashier/Sales Associate ,None,Best colleagues and managers in the store,Capped discounting schemes for employees
2,"Current Employee, less than 1 year",Favouritism but ok job,24-Oct-22, Sales Associate,"London, England","flexible hours are a benefit, staff discount",lots of favouritism can make the environment a bit annoying but other than that just like most retail jobs
5,"Current Employee, less than 1 year",s,12-Nov-22, Sales Associate,"Reading, England",amazing clothes and great discount,a lot of hard work
1,"Current Employee, less than 1 year",Would not recommend.,09-Oct-22, Commercial,"Glasgow, Scotland",Paid 20 minute break for 8 hour shifts.,Unpaid lunch break; very poor health and safety standards; terrible work culture (most people who work at the store hate their jobs and are very verbal about it); very high staff turnover; consistently very understaffed.
3,Current Employee,Zara,07-Nov-22, Sales Associate ,None,Good nice clothing nice environment good pay holidays,Busy Tiring bad environment less pay tiring
3,Current Employee,Commercial,06-Nov-22, Commercial ,None,Early shifts finish early as a commercial,Busy sector and many customers
3,"Former Employee, less than 1 year",Meh,08-Nov-22, Anonymous Employee ,None,we are provided with employee discounts,"poor ethics, low support, poor managment"
3,Current Employee,Great co workers who bond over the stress of the job,15-Oct-22, Sales Assistant ,None,"Working with amazing people, probably burning a lot of calories.","Extreme stress, a million and 1 things to do."
3,"Former Employee, more than 1 year",Not bad place for sales assistants,07-Oct-22, Anonymous Employee ,None,Good place to meet nice people and make friends,"Poor management, they will ask you to do more than your jd says, rota is ready a week before Long hours Low pay"
5,"Former Employee, less than 1 year",Very good,30-Oct-22, Sales Associate ,None,Employee discounts even during sales,not enough people so a lot of work
1,"Former Employee, less than 1 year",Worst company to work at,15-Nov-22, Anonymous Employee,"Oxford, England",Got amazing friends from it,Vibes are very culty they treat you horribly at the same time they make you think that you won’t be anywhere better. Very toxic.
1,"Current Employee, more than 3 years",Salary,28-Nov-22, Sales Associate,"Covent Garden, England",Discount Benefits Uniform Free fruit Internal promotion,Poor management No support No feedback Un organised Favouritism
3,Current Employee,Good experience,16-Oct-22, Seller Support Associate ,None,Best thing in Zara give experience,I must thing bit worried the Lowe salary
3,Former Employee,Zara,17-Oct-22, Costumer Service ,None,pays salary on time. A corporate company.,it can increase the number of employees and give more free time to employees.
4,Former Employee,Good experience,16-Oct-22, Fashion Designer ,None,"The employees are all great, company seemed to be on top of things",Had a lack of communication sometimes
5,Former Employee,Very good,18-Oct-22, Retail Assiant ,None,Nice staff and good pay,There is some mis communication
1,"Former Employee, less than 1 year",Someone needs to take charge!,15-Aug-22, Sales Associate ,None,"Pay is good, 5 and half weeks off in the year, incentives were good until they basically reduced it highly and raised the target because we stopped reaching it as staff were leaving left right and centre so they blamed us who were left for not working hard enough meaning 1 person do the job of 5 people, on a good hand best bunch of people I've ever worked with, only 2 out of 8 managers knew how to run the full store out of all 4 departments stockroom manager and men's wear they were exceptional at their jobs I'm glad I got to spend my last week with them.","Reduced our incentives which was pretty decent at the end of the month but highly reduced, main ladies wear manager didn't know how to run the store let alone do rotas and only allowed swapping shifts if it benefited herself, hardly saw managers on shop floor during busy periods of the day and night, try to keep you past your shift time which is by the way your choice to stay or go don't be afraid to leave they cannot keep you there, yes you do get paid for it if you write it down, I never did though as no one told me I had to write it on the commissions sheet and when I did start doing that I still never got paid so I stopped staying late. Rotas can change at a drop of a hat so you have to check every day to see if your manager has changed her mind which is ridiculous."
3,"Former Employee, more than 1 year",Zara UK - London - Great Company,27-Sep-22, Manager,"London, England","Great company to work for, great coworkers and great customer service.","Long hours, no worklife balance, low compensation and benefits"
4,Current Employee,Luigi,19-Oct-22, Sales Associate,"London, England","Full on job, never a dull moment",Poor pay and poor communication with management
3,"Current Employee, less than 1 year",a,23-Oct-22, Sales Assistant ,None,flexible working discount good pay,work too hard stressful tiring
